n,a_circ,a,x0,y0,N_sites,E0,Ekin0,lamA_sites,lamA_an
3.0,24.0,22.630664388698886,0.5,0.75,1816,-3.9902103968902853,0.009789603109714662,5.658887452174167,5.638811391195645
3.0,24.0,22.630664388698886,0.75,0.0,1809,-3.9901684291202226,0.009831570879777374,5.6612405498194,5.662984826751767
3.0,24.0,22.630664388698886,0.75,0.25,1806,-3.9901552422227264,0.00984475777727356,5.659432812029229,5.67058047970957
3.0,24.0,22.630664388698886,0.75,0.5,1816,-3.9902103968902862,0.009789603109713774,5.658887452173654,5.638811391195134
3.0,24.0,22.630664388698886,0.75,0.75,1806,-3.990155242222726,0.009844757777274005,5.659432812029485,5.670580479709827
3.0,30.0,28.288330485873605,0.0,0.0,2841,-3.9937058722807706,0.0062941277192294365,5.691895424410959,5.664714947306491
3.0,30.0,28.288330485873605,0.0,0.25,2835,-3.993689690897412,0.006310309102588008,5.694476744270142,5.679278192329206
3.0,30.0,28.288330485873605,0.0,0.5,2828,-3.9936692794314554,0.006330720568544557,5.698790308599216,5.6976485116901
3.0,30.0,28.288330485873605,0.0,0.75,2835,-3.9936896908974115,0.006310309102588452,5.694476744270543,5.679278192329605
3.0,30.0,28.288330485873605,0.25,0.0,2835,-3.993689690897412,0.006310309102588008,5.694476744270142,5.679278192329206
3.0,30.0,28.288330485873605,0.25,0.25,2829,-3.993671489922937,0.006328510077063143,5.698814894908181,5.695659069356828
3.0,30.0,28.288330485873605,0.25,0.5,2828,-3.9936614470024354,0.006338552997564584,5.705840907359474,5.704697697808124
3.0,30.0,28.288330485873605,0.25,0.75,2829,-3.993671489922937,0.006328510077063143,5.698814894908181,5.695659069356828
3.0,30.0,28.288330485873605,0.5,0.0,2828,-3.9936692794314554,0.006330720568544557,5.698790308599216,5.6976485116901
3.0,30.0,28.288330485873605,0.5,0.25,2828,-3.993661447002435,0.006338552997565028,5.705840907359873,5.704697697808524
3.0,30.0,28.288330485873605,0.5,0.5,2808,-3.9936200442597363,0.006379955740263732,5.702494783399045,5.741960166237358
3.0,30.0,28.288330485873605,0.5,0.75,2828,-3.9936614470024354,0.006338552997564584,5.705840907359474,5.704697697808124
3.0,30.0,28.288330485873605,0.75,0.0,2835,-3.993689690897412,0.006310309102588008,5.694476744270142,5.679278192329206
3.0,30.0,28.288330485873605,0.75,0.25,2829,-3.9936714899229377,0.006328510077062255,5.698814894907382,5.695659069356028
3.0,30.0,28.288330485873605,0.75,0.5,2828,-3.993661447002436,0.00633855299756414,5.705840907359075,5.704697697807725
3.0,30.0,28.288330485873605,0.75,0.75,2829,-3.993671489922937,0.006328510077063143,5.698814894908181,5.695659069356828
3.0,36.0,33.94599658304833,0.0,0.0,4037,-3.995534609354526,0.00446539064547391,5.738102938068554,5.7871462765341875
3.0,36.0,33.94599658304833,0.0,0.25,4060,-3.9955628927840845,0.004437107215915503,5.734242877106361,5.750490951826492
3.0,36.0,33.94599658304833,0.0,0.5,4068,-3.9955714572766334,0.004428542723366569,5.734451848195438,5.739391369483072
3.0,36.0,33.94599658304833,0.0,0.75,4060,-3.9955628927840845,0.004437107215915503,5.734242877106361,5.750490951826492
3.0,36.0,33.94599658304833,0.25,0.0,4060,-3.995562892784084,0.0044371072159159475,5.734242877106936,5.750490951827068
3.0,36.0,33.94599658304833,0.25,0.25,4076,-3.9955886632877613,0.0044113367122387,5.7234054257604345,5.717092379061356
3.0,36.0,33.94599658304833,0.25,0.5,4080,-3.995592616368196,0.0044073836318041515,5.723888231408156,5.71196918681818
3.0,36.0,33.94599658304833,0.25,0.75,4076,-3.995588663287762,0.004411336712237812,5.723405425759282,5.717092379060204
3.0,36.0,33.94599658304833,0.5,0.0,4068,-3.9955714572766334,0.004428542723366569,5.734451848195438,5.739391369483072
3.0,36.0,33.94599658304833,0.5,0.25,4080,-3.995592616368196,0.0044073836318041515,5.723888231408156,5.71196918681818
3.0,36.0,33.94599658304833,0.5,0.5,4084,-3.9956008042917333,0.0043991957082667454,5.718855769551116,5.701357637913701
3.0,36.0,33.94599658304833,0.5,0.75,4080,-3.995592616368196,0.0044073836318041515,5.723888231408156,5.71196918681818
3.0,36.0,33.94599658304833,0.75,0.0,4060,-3.9955628927840845,0.004437107215915503,5.734242877106361,5.750490951826492
3.0,36.0,33.94599658304833,0.75,0.25,4076,-3.9955886632877613,0.0044113367122387,5.7234054257604345,5.717092379061356
3.0,36.0,33.94599658304833,0.75,0.5,4080,-3.9955926163681963,0.004407383631803707,5.72388823140758,5.711969186817605
3.0,36.0,33.94599658304833,0.75,0.75,4076,-3.9955886632877617,0.004411336712238256,5.723405425759859,5.717092379060779
3.0,48.0,45.26132877739777,0.0,0.0,7249,-3.9975062387051112,0.0024937612948887633,5.754175547231544,5.745626023423711
3.0,48.0,45.26132877739777,0.0,0.25,7249,-3.9975032879893124,0.002496712010687574,5.760984112562615,5.752424472624171
3.0,48.0,45.26132877739777,0.0,0.5,7250,-3.9975029699297706,0.002497030070229389,5.762512841528593,5.753157281808512
3.0,48.0,45.26132877739777,0.0,0.75,7249,-3.997503287989313,0.00249671201068713,5.760984112561589,5.752424472623147
3.0,48.0,45.26132877739777,0.25,0.0,7249,-3.9975032879893124,0.002496712010687574,5.760984112562615,5.752424472624171
3.0,48.0,45.26132877739777,0.25,0.25,7236,-3.997497349257513,0.0025026507424867894,5.76433127061895,5.766107310689563
3.0,48.0,45.26132877739777,0.25,0.5,7228,-3.997494470941369,0.0025055290586308843,5.764580591022957,5.7727389510855565
3.0,48.0,45.26132877739777,0.25,0.75,7236,-3.9974973492575128,0.0025026507424872335,5.764331270619972,5.766107310690586
3.0,48.0,45.26132877739777,0.5,0.0,7250,-3.997502969929771,0.002497030070228945,5.762512841527568,5.753157281807489
3.0,48.0,45.26132877739777,0.5,0.25,7228,-3.9974944709413696,0.00250552905863044,5.764580591021935,5.772738951084534
3.0,48.0,45.26132877739777,0.5,0.5,7224,-3.997493186605344,0.002506813394655971,5.764343745298085,5.775698061287358
3.0,48.0,45.26132877739777,0.5,0.75,7228,-3.997494470941369,0.0025055290586308843,5.764580591022957,5.7727389510855565
3.0,48.0,45.26132877739777,0.75,0.0,7249,-3.997503287989313,0.00249671201068713,5.760984112561589,5.752424472623147
3.0,48.0,45.26132877739777,0.75,0.25,7236,-3.9974973492575128,0.0025026507424872335,5.764331270619972,5.766107310690586
