n,a,aspect_ratio,N_sites,E0,E1,E2,E3,dE1,dE2,dE3,E_kin,scaled_E0,scaled_dE1,analytic_area,N_sites_over_area,R_eff,E_Bessel,bessel_relative_error,N_A,N_B,delta_N,imbalance_ratio
3.0,27.0,1.0,2545,-3.992946519635465,-3.9821897507461226,-3.9821897507460022,-3.9699620777917843,0.010756768889342627,1.2034817586936697e-13,0.012227672954217894,0.007053480364534792,5.141987185745863,7.841684520330775,2575.7592979161877,0.9880581629110017,nan,nan,nan,1281,1264,17,0.0066797642436149315
4.0,27.0,1.0,2669,-3.993141839348758,-3.9827746680481226,-3.982774668048018,-3.9718016775236755,0.01036717130063547,1.0480505352461478e-13,0.010972990524342308,0.006858160651241896,4.999599114755342,7.557667878163257,2703.2408795054016,0.9873333968256405,nan,nan,nan,1333,1336,-3,0.0011240164855751218
1.2,30.0,0.67,1429,-3.986416959974035,-3.970460571815769,-3.9614304973480405,-3.951429014672511,0.015956388158266055,0.009030074467728522,0.010001482675529694,0.013583040025964888,12.224736023368399,14.36074934243945,1418.4853354343134,1.00741260011861,nan,nan,nan,719,710,9,0.006298110566829951
2.0,30.0,0.67,1897,-3.9900136214715167,-3.9794810080735665,-3.9699733674727335,-3.964316058454082,0.010532613397950197,0.009507640600832978,0.0056573090186513575,0.009986378528483275,8.987740675634948,9.479352058155177,1894.3803701146455,1.0013828426047278,nan,nan,nan,951,946,5,0.002635740643120717
3.0,30.0,0.67,2137,-3.9910445367604805,-3.9819264751429455,-3.972842708299637,-3.967774879607544,0.009118061617535034,0.00908376684330836,0.0050678286920931015,0.008955463239519457,8.059916915567511,8.20625545578153,2130.566332844254,1.003019698122779,nan,nan,nan,1067,1070,-3,0.0014038371548900327
4.0,30.0,0.67,2241,-3.991362399550491,-3.982650507091274,-3.973851337930654,-3.968747153848262,0.008711892459217108,0.008799169160619957,0.005104184082391772,0.008637600449509009,7.773840404558108,7.840703213295397,2236.014060825455,1.0022298335515405,nan,nan,nan,1123,1118,5,0.0022311468094600626
1.2,30.0,0.72,1523,-3.9875016952579796,-3.972167928460288,-3.9650204678188725,-3.953450015061261,0.015333766797691606,0.007147460641415471,0.011570452757611704,0.012498304742020405,11.248474267818365,13.800390117922445,1524.3424500189635,0.9991193251759493,nan,nan,nan,767,756,11,0.007222586999343401
2.0,30.0,0.72,2031,-3.9909192133943043,-3.980451663848915,-3.973546483207663,-3.96538021550973,0.01046754954538942,0.006905180641251896,0.008166267697932827,0.009080786605695668,8.1727079451261,9.420794590850479,2035.7520395261859,0.997665708085307,nan,nan,nan,1023,1008,15,0.007385524372230428
3.0,30.0,0.72,2279,-3.9917686577810634,-3.9827608742805105,-3.9756735802947407,-3.968538418134502,0.009007783500552868,0.007087293985769794,0.007135162160238906,0.008231342218936621,7.408207997042959,8.107005150497582,2289.5638203699446,0.9953860991879939,nan,nan,nan,1139,1140,-1,0.00043878894251864854
4.0,30.0,0.72,2387,-3.9920162519102247,-3.9834561910039907,-3.9764068097676804,-3.969464893910756,0.008560060906233957,0.007049381236310381,0.0069419158569243855,0.007983748089775311,7.18537328079778,7.7040548156105615,2402.8807817825787,0.9933909406147077,nan,nan,nan,1191,1196,-5,0.0020946795140343527
1.2,30.0,0.78,1651,-3.9886133789538607,-3.9737481433705355,-3.969049973182814,-3.9558480682162043,0.014865235583325198,0.004698170187721562,0.013201904966609668,0.0113866210461393,10.24795894152537,13.378712024992678,1651.3709875205443,0.9997753457440225,nan,nan,nan,837,814,23,0.013930950938824955
2.0,30.0,0.78,2207,-3.9917821409248595,-3.9815691968547333,-3.976772651058115,-3.9668235982361097,0.010212944070126184,0.004796545796618368,0.0099490528220052,0.008217859075140499,7.396073167626449,9.191649663113566,2205.3980428200352,1.0007263800678432,nan,nan,nan,1105,1102,3,0.001359311282283643
