n,target,protocol,model,feature_set,seed,left_out_group,mae,rmse,max_abs_error,n_iter,max_iter,converged
1.2,E0,LOARO,mlp,raw,9,0.83,4.807366143220193e-05,4.956008675084197e-05,6.741327168535705e-05,101.0,5000.0,True
1.2,E0,LOARO,mlp,raw,9,0.89,7.0161335955099e-05,7.92097536483405e-05,0.00011078365230465792,72.0,5000.0,True
1.2,E0,LOARO,mlp,raw,9,0.94,8.921825917829196e-05,0.00012089057596836671,0.0002414216810500136,63.0,5000.0,True
1.2,E0,LOARO,mlp,raw,9,1.0,0.00019628265336359973,0.00022706869704135945,0.00042291647531245147,83.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,0,0.67,0.0001597885968211088,0.00030178473613376043,0.0006715293468224637,82.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,0,0.72,7.045505718599188e-05,0.0001367332525513101,0.00030425675622236525,81.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,0,0.78,3.570649421789085e-05,4.944203179546595e-05,8.940013110159128e-05,99.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,0,0.83,3.941213673082089e-05,4.641151945387167e-05,7.179204693619212e-05,109.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,0,0.89,5.5514561252856254e-05,7.222353926205742e-05,0.0001443716858813282,152.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,0,0.94,8.93905802301198e-05,0.00010542502133243537,0.00018879994012355183,82.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,0,1.0,9.344359215601727e-05,0.00011739196374914077,0.0002334765263980465,65.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,1,0.67,0.00017763133884791672,0.0003413000233665121,0.0007590145796840808,63.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,1,0.72,7.241117880996129e-05,0.00013433646456848718,0.00029803034491404645,48.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,1,0.78,4.1237634456958716e-05,6.467165987224344e-05,0.00013537666107410473,48.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,1,0.83,3.845054923976576e-05,4.266684111364713e-05,6.064240307512847e-05,49.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,1,0.89,5.61422589597349e-05,6.894804394760591e-05,0.00013411612458469335,94.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,1,0.94,8.149457780932678e-05,0.00010296372815532046,0.00017755957961096414,63.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,1,1.0,8.164339271656828e-05,9.36966999649235e-05,0.00015818414980595108,58.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,2,0.67,0.0001745747367969841,0.00033125233212046013,0.0007362495400196067,49.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,2,0.72,6.315871477475809e-05,0.00011730350944062973,0.0002596325396098109,58.0,5000.0,True
1.2,E0,LOARO,mlp,physics_informed,2,0.78,4.1407635774959316e-05,5.5022218199168114e-05,0.00010534552642749162,51.0,5000.0,True
