a,aspect_ratio,n,center_x,center_y,theta,N_sites,N_A,N_B,imbalance_bound,max_matching,structural_nullity,exact_rank_T,exact_nullity,rank_agrees_across_primes,numerical_nullity,largest_counted_abs_E,next_level_abs_E,theta_deg
16,0.67,4.0,0.0,0.0,0.2617993877991494,639,323,316,7,316,7,314,11,True,11,1.6389469412570874e-15,0.01040826263167128,15.0
16,0.67,4.0,0.0,0.0,0.3490658503988659,637,317,320,3,317,3,316,5,True,5,1.809446983904878e-15,0.009630345907325847,20.0
16,0.67,4.0,0.0,0.0,0.4363323129985824,633,317,316,1,316,1,311,11,True,11,3.366292935540146e-15,0.014427560319116588,25.0
16,0.67,4.0,0.0,0.0,0.5235987755982988,639,317,322,5,317,5,314,11,True,11,2.978055157905863e-15,0.01101923064709987,30.0
16,0.67,4.0,0.0,0.0,0.6108652381980153,639,323,316,7,316,7,312,15,True,15,1.7499145708804288e-15,0.019705130835416466,35.0
16,0.67,4.0,0.0,0.0,0.6981317007977318,631,317,314,3,314,3,307,17,True,17,1.8333063228824387e-15,0.01786843125664922,40.0
16,0.67,4.0,0.0,0.0,0.7853981633974483,637,321,316,5,316,5,303,31,True,31,1.9638844169135094e-15,0.0398223785671147,45.0
16,1.0,4.0,0.0,0.0,0.0,925,469,456,13,456,13,446,33,True,33,2.374625642284361e-15,0.030620803928137735,0.0
16,1.0,4.0,0.0,0.0,0.08726646259971647,953,481,472,9,472,9,472,9,True,9,2.073213920396519e-15,0.003381989925272035,5.0
16,1.0,4.0,0.0,0.0,0.17453292519943295,941,473,468,5,468,5,466,9,True,9,1.4825888364240909e-15,0.010122497433651909,10.0
16,1.0,4.0,0.0,0.0,0.2617993877991494,957,481,476,5,476,5,474,9,True,9,2.3242620429251626e-15,0.017450536795962708,15.0
16,1.0,4.0,0.0,0.0,0.3490658503988659,941,469,472,3,469,3,468,5,True,5,1.3475748913381331e-15,0.007067775313150565,20.0
16,1.0,4.0,0.0,0.0,0.4363323129985824,953,477,476,1,476,1,471,11,True,11,3.872028478576983e-15,0.014868427239392582,25.0
16,1.0,4.0,0.0,0.0,0.5235987755982988,949,473,476,3,473,3,469,11,True,11,2.693297250386927e-15,0.008354199822636472,30.0
16,1.0,4.0,0.0,0.0,0.6108652381980153,941,465,476,11,465,11,464,13,True,13,3.0766029504390664e-15,0.017029473453633863,35.0
16,1.0,4.0,0.0,0.0,0.6981317007977318,945,473,472,1,472,1,462,21,True,21,1.7380717388920002e-15,0.02593113976619003,40.0
16,1.0,4.0,0.0,0.0,0.7853981633974483,941,481,460,21,460,21,452,37,True,37,3.790405984273097e-15,0.027651088492464133,45.0
