n,target,protocol,left_out_group,a,aspect_ratio,y_true,y_pred,residual,abs_residual,squared_residual,N_sites,analytic_area,N_sites_over_area,edge_area_error_signed,edge_area_error_abs,N_A,N_B,delta_N,imbalance_ratio,abs_delta_N_over_N
1.2,E0,LOAO,30.0,30.0,0.94,-3.990709334291677,-3.9907508098643962,-4.1475572719384957e-05,4.1475572719384957e-05,1.7202231324009897e-09,1989.0,1990.113754191425,0.9994403565177723,-0.0005596434822277008,0.0005596434822277008,1007.0,982.0,25.0,0.01256913021618904,0.01256913021618904
1.2,E0,LOAO,30.0,30.0,1.0,-3.991276458703612,-3.9915122006336814,-0.0002357419300693664,0.0002357419300693664,5.557425759283003e-08,2121.0,2117.142291693005,1.001822129916412,0.001822129916412063,0.001822129916412063,1053.0,1068.0,-15.0,0.007072135785007072,0.007072135785007072
1.2,E0,LOAO,33.0,33.0,0.67,-3.9887209045980057,-3.988589814221541,0.00013109037646463761,0.00013109037646463761,1.7184686801640416e-08,1723.0,1716.3672558755195,1.0038644084485853,0.003864408448585266,0.003864408448585266,859.0,864.0,-5.0,0.002901915264074289,0.002901915264074289
1.2,E0,LOAO,33.0,33.0,0.72,-3.9896443033695537,-3.989416189171718,0.00022811419783552722,0.00022811419783552722,5.203608725414605e-08,1845.0,1844.454364522946,1.0002958248724116,0.000295824872411643,0.000295824872411643,915.0,930.0,-15.0,0.008130081300813009,0.008130081300813009
1.2,E0,LOAO,33.0,33.0,0.78,-3.9905729120793847,-3.990327960924605,0.00024495115477973783,0.00024495115477973783,6.000106822792708e-08,2001.0,1998.1588948998583,1.0014218614482528,0.001421861448252848,0.001421861448252848,1001.0,1000.0,1.0,0.0004997501249375312,0.0004997501249375312
1.2,E0,LOAO,33.0,33.0,0.83,-3.9912054456829944,-3.9910340373998934,0.00017140828310102663,0.00017140828310102663,2.9380799515641692e-08,2129.0,2126.246003547285,1.0012952388614114,0.001295238861411363,0.001295238861411363,1071.0,1058.0,13.0,0.0061061531235321745,0.0061061531235321745
1.2,E0,LOAO,33.0,33.0,0.89,-3.9918900125995527,-3.9918291655888583,6.0847010694420334e-05,6.0847010694420334e-05,3.7023587104469024e-09,2289.0,2279.9505339241973,1.0039691501816168,0.0039691501816168095,0.0039691501816168095,1141.0,1148.0,-7.0,0.0030581039755351682,0.0030581039755351682
1.2,E0,LOAO,33.0,33.0,0.94,-3.992258657489504,-3.9924557018514024,-0.00019704436189860175,0.00019704436189860175,3.8826480556027136e-08,2397.0,2408.037642571624,0.9954163330437656,-0.004583666956234356,0.004583666956234356,1187.0,1210.0,-23.0,0.009595327492699207,0.009595327492699207
1.2,E0,LOAO,33.0,33.0,1.0,-3.992766083494375,-3.993171619087108,-0.00040553559273304174,0.00040553559273304174,1.6445911697333948e-07,2565.0,2561.7421729485363,1.0012717232381407,0.0012717232381407317,0.0012717232381407317,1289.0,1276.0,13.0,0.0050682261208577,0.0050682261208577
1.2,E0,LOAO,36.0,36.0,0.67,-3.9904552746891415,-3.9901556030960803,0.0002996715930612126,0.0002996715930612126,8.980306368784501e-08,2045.0,2042.6188830254116,1.0011657176942679,0.001165717694267876,0.001165717694267876,1029.0,1016.0,13.0,0.006356968215158924,0.006356968215158924
1.2,E0,LOAO,36.0,36.0,0.72,-3.9912445216293646,-3.99091223850797,0.00033228312139454985,0.00033228312139454985,1.1041207276370515e-07,2187.0,2195.0531280273076,0.9963312377616368,-0.00366876223836321,0.00366876223836321,1101.0,1086.0,15.0,0.006858710562414266,0.006858710562414266
