shape_n,scale_a0,deformation_mode,delta,xi,metric,frac_ambiguous,n_placements,mean,std,median,min,max,q5,q25,q75,q95,frac_neg,count
2.0,24.3,area_preserving,0.00823045267489712,0.2,chi_minus,0.03125,256,0.0012035529953178651,0.014239595854837335,-0.0034498436519341254,-0.024833022247301214,0.028879446945395234,-0.01733206652346797,-0.011825778161400844,0.013983398953093138,0.023202475828467448,0.5645161290322581,248
2.0,24.3,area_preserving,0.00823045267489712,0.2,chi_plus,0.03125,256,-0.001620178014742794,0.01188576291401813,3.6519489307607053e-05,-0.028303647198850476,0.033365906245581334,-0.023512003564402525,-0.010098036946963096,0.0068338070447392365,0.01637092756499333,0.5,248
2.0,24.3,area_preserving,0.00823045267489712,0.2,chi_center,0.03125,256,-0.00020831250971453118,0.004859795560800003,5.3367329100884035e-05,-0.013224889468476773,0.019738302724683132,-0.007944418501532713,-0.0032293195631797884,0.003094987345603761,0.007136479926985738,0.49193548387096775,248
2.0,24.3,area_preserving,0.00823045267489712,0.2,chi_split,0.03125,256,-0.002823731010060659,0.024363999030201266,0.008228959610111719,-0.04671447939305073,0.034056166372046226,-0.04071845739436305,-0.027128896939474952,0.018441502849961877,0.027153564411936806,0.43951612903225806,248
2.0,24.3,area_preserving,0.00823045267489712,0.2,legacy_raw_ratio,0.03125,256,0.024436051260896503,0.007907257198276443,0.025608751619533906,0.008740013350975628,0.04008064603062178,0.012086012998330252,0.017001258565017663,0.030326892771200594,0.03650765091752593,0.0,248
2.0,24.3,area_preserving,0.00823045267489712,0.2,sorted_baseline_corrected_ratio,0.03125,256,0.014934989161893114,0.008555436711000659,0.014013673191034191,-0.0015611960042818394,0.036556922697808636,0.00151331838514237,0.008417121901566127,0.019450968222069043,0.029199388081758468,0.008064516129032258,248
2.0,24.3,area_preserving,0.01646090534979424,0.4,chi_minus,0.03125,256,0.0016886973365215223,0.012901131286831983,-0.0036546170951811115,-0.019907647745286527,0.02256276217359576,-0.014917965462644782,-0.010386043688890899,0.014329751396817912,0.018605579619719752,0.5120967741935484,248
2.0,24.3,area_preserving,0.01646090534979424,0.4,chi_plus,0.03125,256,-0.001805696249149846,0.011445314201180785,0.0023578459460827372,-0.019232542910893935,0.017481823979572986,-0.01738060343084724,-0.01308182168050395,0.008475862277750518,0.014455322345042678,0.4879032258064516,248
2.0,24.3,area_preserving,0.01646090534979424,0.4,chi_center,0.03125,256,-5.8499456315630366e-05,0.0029777869548937314,-0.0003828595376356713,-0.009258126412225787,0.009488724138697613,-0.004842123301591833,-0.001966150098783842,0.0016393149869077526,0.005117275465303606,0.5483870967741935,248
2.0,24.3,area_preserving,0.01646090534979424,0.4,chi_split,0.03125,256,-0.0034943935856713683,0.023651637378682755,0.011009485041369447,-0.03524874406752809,0.029699773579222596,-0.03365572215921863,-0.0262859592107012,0.01896377124428067,0.02526874939118572,0.4879032258064516,248
2.0,24.3,area_preserving,0.01646090534979424,0.4,legacy_raw_ratio,0.03125,256,0.023559374520996944,0.003559369114812859,0.02411003443326781,0.014037737886919198,0.03230881620888171,0.017363980279957447,0.021188387819328715,0.025617510749172758,0.02929542959458897,0.0,248
2.0,24.3,area_preserving,0.01646090534979424,0.4,sorted_baseline_corrected_ratio,0.03125,256,0.01892079063548972,0.00367884711483122,0.018377419422420382,0.009740471534949946,0.029699773579222596,0.012739177909063102,0.01666032633861861,0.020817993203616932,0.025380419437754927,0.0,248
2.0,24.3,area_preserving,0.03292181069958848,0.8,chi_minus,0.046875,256,0.00235062817810025,0.0124748737123774,0.009691681768287164,-0.016779013993994174,0.020741719779414854,-0.012459632090685404,-0.01031215636090131,0.014732670183339012,0.01686465139304972,0.48770491803278687,244
2.0,24.3,area_preserving,0.03292181069958848,0.8,chi_plus,0.046875,256,-0.0017828894648227302,0.0116631900598663,-0.010355450265235487,-0.01815113338747887,0.018114363086266516,-0.01469428130418496,-0.012856454533778079,0.009830185379849296,0.011798715103880838,0.5122950819672131,244
2.0,24.3,area_preserving,0.03292181069958848,0.8,chi_center,0.046875,256,0.00028386935663889795,0.001810745810380536,0.00021407106048659805,-0.005617466463136544,0.006387258949239526,-0.002180317959936498,-0.0005436238518546355,0.0013554610682799393,0.002895544896037746,0.44672131147540983,244
2.0,24.3,area_preserving,0.03292181069958848,0.8,chi_split,0.046875,256,-0.00413351764292298,0.023878646349100332,-0.02234769520768728,-0.03168925629543834,0.028271630353355167,-0.02981928340734627,-0.027616113091659022,0.019636266544698355,0.022502462469920388,0.5122950819672131,244
2.0,24.3,area_preserving,0.03292181069958848,0.8,legacy_raw_ratio,0.046875,256,0.02386799360825665,0.002018235994661763,0.0236959118807635,0.01942425985775037,0.029152561186544964,0.020900750801930153,0.022121310264427107,0.025541337564681087,0.027375394082988697,0.0,244
2.0,24.3,area_preserving,0.03292181069958848,0.8,sorted_baseline_corrected_ratio,0.046875,256,0.02152725777534752,0.0023719665825593633,0.021291445511342707,0.017160680039804477,0.028271630353355167,0.01825036685455841,0.019881508338245146,0.022741986307219794,0.025488315669466924,0.0,244
2.0,33.7,area_preserving,0.001,0.0337,chi_minus,0.015625,256,-0.00051792893203329,0.008818777283502053,-1.1102230246251565e-12,-0.015044914289497058,0.038212053049324624,-0.013040819663245884,-0.006712380538065332,0.002034103321113534,0.013881853714736714,0.5317460317460317,252
2.0,33.7,area_preserving,0.001,0.0337,chi_plus,0.015625,256,0.0007424868299940909,0.009210066210178622,0.00040001357493046896,-0.027025940768421464,0.02221339886387952,-0.018208299877642272,-0.0033149907917584542,0.005970266311550176,0.014181906911692188,0.40476190476190477,252
2.0,33.7,area_preserving,0.001,0.0337,chi_center,0.015625,256,0.00011227894899537969,0.006029765757269742,0.0,-0.015359233100475933,0.014791280323667166,-0.00879732805758593,-0.003678128449702278,0.0035741174784220675,0.008251580803975145,0.49603174603174605,252
2.0,33.7,area_preserving,0.001,0.0337,chi_split,0.015625,256,0.001260415762027381,0.013407460773510004,0.002723090202216838,-0.046841545451314914,0.030791516350436865,-0.02508635961580019,-0.0021067430037158275,0.009833462663255688,0.017034723613584823,0.35714285714285715,252
