a0,count,frac_neg,frac_pos,frac_zero,iqr,max,mean,mean_all,mean_amb_hi,mean_amb_lo,median,median_id,median_swap,metric,min,n,n_ambiguous,n_total,path,q05,q25,q75,q95,std,value
33.7,240,0.49583333333333335,0.5041666666666667,0.0,2.4996438073427143,2.0324441178605053,0.180669560075536,,,,0.9093214981413145,,,dimless_chi_minus,-1.8318064767052376,2.0,16,256,xi,-1.3638599927454618,-1.0877172253233633,1.4119265820193512,1.6681643388387135,1.2745131826056524,0.4
33.7,240,0.5041666666666667,0.49583333333333335,0.0,2.4986154061891703,1.8406832965607618,-0.18143750852883275,,,,-0.9132733987820467,,,dimless_chi_plus,-2.030542062599569,2.0,16,256,xi,-1.667017140977427,-1.4141047957039043,1.0845106104852658,1.3641982370841452,1.2748585000538468,0.4
33.7,240,0.6583333333333333,0.3416666666666667,0.0,0.001352796008899787,0.0044384099315035175,-0.0003839742263654575,,,,-0.00037887307577044727,,,dimless_chi_center,-0.002836749949659545,2.0,16,256,xi,-0.0018552417355889915,-0.0011799715242391123,0.00017282448466067468,0.001110110040570164,0.0010507607552255357,0.4
33.7,240,0.5375,0.4625,0.0,5.018678865413749,2.760866874428035,-0.36319332391449777,-0.4272000658840586,-0.18882272315189927,-0.5070951822967287,-2.4960967104984606,-2.4991076217059747,-2.4695377109571313,dimless_chi_split,-3.0418458006791043,2.0,16,256,xi,-2.888729342125583,-2.7045686833260554,2.3141101820876937,2.556612486082255,2.5147266128296337,0.8
33.7,240,0.4625,0.5375,0.0,2.508599132809467,1.5193994693039905,0.18069325588291799,,,,1.2456164740171052,,,dimless_chi_minus,-1.3808995353077969,2.0,16,256,xi,-1.279026407826885,-1.157720376038347,1.3508787567711196,1.4431479274897119,1.2573054247233275,0.8
33.7,240,0.5375,0.4625,0.0,2.5100797325968776,1.3799673391261196,-0.18250006803157956,,,,-1.2504802364625505,,,dimless_chi_plus,-1.5224463313751118,2.0,16,256,xi,-1.4455814146620858,-1.353689926559753,1.1563898060371245,1.2775860782873492,1.2574218392982852,0.8
33.7,240,0.8458333333333333,0.15416666666666667,0.0,0.0012669747355831748,0.0023410060776574426,-0.0009034060741979564,,,,-0.00089406138870117,,,dimless_chi_center,-0.0029729854393832633,2.0,16,256,xi,-0.002381413186815344,-0.0014989033764196136,-0.00023192864083643877,0.0007037485403378896,0.0009067376103788313,0.8
33.7,252,0.3611111111111111,0.6349206349206349,0.003968253968253968,2.398988506271691,6.1792627660110595,0.25285473483650717,0.27032037589129365,0.27032037589129376,0.18723755445337903,0.546171934246412,0.5751346918400391,0.5172091766990216,dimless_chi_split,-9.407657949572272,2.0,4,256,delta,-5.043634000726192,-0.42310300783440435,1.9758854984372864,3.4125585219728225,2.6911708727767105,0.001
33.7,252,0.6428571428571429,0.3412698412698413,0.015873015873015872,1.2054379798115966,4.7052542243744,-0.1270774199850645,,,,-0.27694687516743866,,,dimless_chi_minus,-3.1006283642649457,2.0,4,256,delta,-1.7023329242628504,-0.993519858900227,0.21191812091136963,2.523513180520054,1.3462940869616506,0.001
33.7,252,0.35714285714285715,0.6309523809523809,0.011904761904761904,1.1935505260756152,3.0786344028344015,0.12577731485143215,,,,0.26922505921300743,,,dimless_chi_plus,-4.702403726370985,2.0,4,256,delta,-2.520120820431715,-0.2111848872854427,0.9823656387901725,1.7102255977099468,1.3448957268166066,0.001
33.7,252,0.5357142857142857,0.4523809523809524,0.011904761904761904,0.004935343407175274,0.013386684432514784,-0.0006500525638040262,,,,-3.155253835984695e-10,,,dimless_chi_center,-0.02030402912645002,2.0,4,256,delta,-0.010996980268385137,-0.002897678194835329,0.0020376652123399452,0.006038027361032761,0.005096634012641789,0.001
33.7,256,0.34765625,0.65234375,0.0,3.7594894266496315,4.193297788924236,0.0933581287211576,0.0933581287211576,0.0933581287211576,0.0933581287211576,1.126580717652935,1.126580717652935,1.126580717652935,dimless_chi_split,-8.354321011743398,2.0,0,256,delta,-4.641026188301803,-1.8622506139203872,1.897238812729244,3.1913431252075024,2.5677826902715033,0.002
